date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:05	25/25	---M--	200	added ('OK')	text/plain	etag:%2261791bb4-19%22	https://demo.bootstrapious.com/robots.txt		(from )
13:03:05	61780/61780	---MCZ	200	added ('OK')	text/html	etag:W/%22636ff414-f154%22	https://demo.bootstrapious.com/directory/2-0-2/	D:/xampp/htdocs/dcee-beyond-the-loop/template/demo.bootstrapious.com/directory/2-0-2/index.html	(from )
13:03:09	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Apr%202024%2009:15:57%20GMT	https://d19m59y37dris4.cloudfront.net/directory/2-0-2/vendor/nouislider/nouislider.css	D:/xampp/htdocs/dcee-beyond-the-loop/template/d19m59y37dris4.cloudfront.net/directory/2-0-2/vendor/nouislider/nouislider.0.delayed	(from https://demo.bootstrapious.com/directory/2-0-2/)
13:03:10	19779/19779	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf2-4d43%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.1/css/swiper.min.css	D:/xampp/htdocs/dcee-beyond-the-loop/template/cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.1/css/swiper.min.css	(from https://demo.bootstrapious.com/directory/2-0-2/)
13:03:10	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Apr%202024%2018:39:43%20GMT	https://d19m59y37dris4.cloudfront.net/directory/2-0-2/vendor/magnific-popup/magnific-popup.css	D:/xampp/htdocs/dcee-beyond-the-loop/template/d19m59y37dris4.cloudfront.net/directory/2-0-2/vendor/magnific-popup/magnific-popup.css	(from https://demo.bootstrapious.com/directory/2-0-2/)
13:03:11	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Apr%202024%2018:39:43%20GMT	https://d19m59y37dris4.cloudfront.net/directory/2-0-2/css/style.default.2018ba20.css	D:/xampp/htdocs/dcee-beyond-the-loop/template/d19m59y37dris4.cloudfront.net/directory/2-0-2/css/style.default.2018ba20.css	(from https://demo.bootstrapious.com/directory/2-0-2/)
13:03:11	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Apr%202024%2016:24:47%20GMT	https://d19m59y37dris4.cloudfront.net/directory/2-0-2/css/custom.0a822280.css	D:/xampp/htdocs/dcee-beyond-the-loop/template/d19m59y37dris4.cloudfront.net/directory/2-0-2/css/custom.0a822280.css	(from https://demo.bootstrapious.com/directory/2-0-2/)
13:03:11	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Apr%202024%2009:08:44%20GMT	https://d19m59y37dris4.cloudfront.net/directory/2-0-2/img/favicon.png	D:/xampp/htdocs/dcee-beyond-the-loop/template/d19m59y37dris4.cloudfront.net/directory/2-0-2/img/favicon.png	(from https://demo.bootstrapious.com/directory/2-0-2/)
13:03:12	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Apr%202024%2009:15:57%20GMT	https://d19m59y37dris4.cloudfront.net/directory/2-0-2/img/photo/photo-1521170665346-3f21e2291d8b.jpg	D:/xampp/htdocs/dcee-beyond-the-loop/template/d19m59y37dris4.cloudfront.net/directory/2-0-2/img/photo/photo-1521170665346-3f21e2291d8b.jpg	(from https://demo.bootstrapious.com/directory/2-0-2/)
13:03:13	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%22e4c542a7f6bf6f74fdd8cdf6e8096396%22	https://use.fontawesome.com/releases/v5.8.1/css/all.css	D:/xampp/htdocs/dcee-beyond-the-loop/template/use.fontawesome.com/releases/v5.8.1/css/all.css	(from https://demo.bootstrapious.com/directory/2-0-2/)
13:03:13	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Apr%202024%2012:14:16%20GMT	https://d19m59y37dris4.cloudfront.net/directory/2-0-2/img/photo/photo-1501621965065-c6e1cf6b53e2.jpg	D:/xampp/htdocs/dcee-beyond-the-loop/template/d19m59y37dris4.cloudfront.net/directory/2-0-2/img/photo/photo-1501621965065-c6e1cf6b53e2.jpg	(from https://demo.bootstrapious.com/directory/2-0-2/)
